GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,Noise range for number of employees (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
0100000US,,United States,722211,Limited-service restaurants,2007,211054,3512497,G,9503315,G,40313149,G
0400000US01,01,Alabama,722211,Limited-service restaurants,2007,3483,67817,G,167677,G,706419,G
0400000US02,02,Alaska,722211,Limited-service restaurants,2007,415,5606,G,17287,G,75430,G
0400000US04,04,Arizona,722211,Limited-service restaurants,2007,4046,75082,G,218281,G,866709,G
0400000US05,05,Arkansas,722211,Limited-service restaurants,2007,1850,39052,G,90845,G,384247,G
0400000US06,06,California,722211,Limited-service restaurants,2007,26139,400080,G,1273689,G,5297846,G
0400000US08,08,Colorado,722211,Limited-service restaurants,2007,3630,59310,G,163401,G,700977,G
0400000US09,09,Connecticut,722211,Limited-service restaurants,2007,2111,25642,G,80279,G,336882,G
0400000US10,10,Delaware,722211,Limited-service restaurants,2007,585,8556,G,25077,G,107733,G
0400000US11,11,District of Columbia,722211,Limited-service restaurants,2007,739,7415,G,26503,G,113663,G
0400000US12,12,Florida,722211,Limited-service restaurants,2007,11002,191880,G,545295,G,2224606,G
0400000US13,13,Georgia,722211,Limited-service restaurants,2007,6991,132197,G,342550,G,1422811,G
0400000US15,15,Hawaii,722211,Limited-service restaurants,2007,1297,18896,G,64148,G,256936,G
0400000US16,16,Idaho,722211,Limited-service restaurants,2007,967,17245,G,39252,G,166977,G
0400000US17,17,Illinois,722211,Limited-service restaurants,2007,9227,145555,G,399477,G,1730003,G
0400000US18,18,Indiana,722211,Limited-service restaurants,2007,4560,91597,G,218795,G,940665,G
0400000US19,19,Iowa,722211,Limited-service restaurants,2007,1955,37494,G,82734,G,356559,G
0400000US20,20,Kansas,722211,Limited-service restaurants,2007,1940,37271,G,89134,G,573746,G
0400000US21,21,Kentucky,722211,Limited-service restaurants,2007,2941,63396,G,156282,G,670215,G
0400000US22,22,Louisiana,722211,Limited-service restaurants,2007,2820,56865,G,144136,G,600014,G
0400000US23,23,Maine,722211,Limited-service restaurants,2007,902,11939,G,32953,G,148520,G
0400000US24,24,Maryland,722211,Limited-service restaurants,2007,4627,62507,G,186193,G,790284,G
0400000US25,25,Massachusetts,722211,Limited-service restaurants,2007,4565,51056,G,158213,G,679692,G
0400000US26,26,Michigan,722211,Limited-service restaurants,2007,6413,112334,G,281085,G,1186244,G
0400000US27,27,Minnesota,722211,Limited-service restaurants,2007,3333,61321,G,152889,G,656535,G
0400000US28,28,Mississippi,722211,Limited-service restaurants,2007,1962,43583,G,98187,G,409347,G
0400000US29,29,Missouri,722211,Limited-service restaurants,2007,4116,83454,G,210103,G,890489,G
0400000US30,30,Montana,722211,Limited-service restaurants,2007,715,11108,G,26476,G,116179,G
0400000US31,31,Nebraska,722211,Limited-service restaurants,2007,1247,24163,G,56237,G,241281,G
0400000US32,32,Nevada,722211,Limited-service restaurants,2007,2109,32246,G,99119,G,412437,G
0400000US33,33,New Hampshire,722211,Limited-service restaurants,2007,1027,11546,G,32212,G,141022,G
0400000US34,34,New Jersey,722211,Limited-service restaurants,2007,6628,63233,G,200105,G,849775,G
0400000US35,35,New Mexico,722211,Limited-service restaurants,2007,1271,25927,G,68461,G,290418,G
0400000US36,36,New York,722211,Limited-service restaurants,2007,12713,133019,G,411400,G,1749987,G
0400000US37,37,North Carolina,722211,Limited-service restaurants,2007,6452,127638,G,331497,G,1393089,G
0400000US38,38,North Dakota,722211,Limited-service restaurants,2007,431,7791,G,17690,G,77685,G
0400000US39,39,Ohio,722211,Limited-service restaurants,2007,8966,160205,G,392922,G,1656235,G
0400000US40,40,Oklahoma,722211,Limited-service restaurants,2007,2481,50485,G,117745,G,506159,G
0400000US41,41,Oregon,722211,Limited-service restaurants,2007,2901,45740,G,125347,G,529495,G
0400000US42,42,Pennsylvania,722211,Limited-service restaurants,2007,8315,111146,G,277639,G,1199429,G
0400000US44,44,Rhode Island,722211,Limited-service restaurants,2007,831,9757,G,25952,G,111910,G
0400000US45,45,South Carolina,722211,Limited-service restaurants,2007,3229,62592,G,151627,G,645559,G
0400000US46,46,South Dakota,722211,Limited-service restaurants,2007,533,10563,G,22805,G,102762,G
0400000US47,47,Tennessee,722211,Limited-service restaurants,2007,4412,94035,G,227738,G,976110,G
0400000US48,48,Texas,722211,Limited-service restaurants,2007,16214,318879,G,860852,G,3623364,G
0400000US49,49,Utah,722211,Limited-service restaurants,2007,1898,34150,G,81995,G,351618,G
0400000US50,50,Vermont,722211,Limited-service restaurants,2007,383,5057,G,14389,G,60784,G
0400000US51,51,Virginia,722211,Limited-service restaurants,2007,5843,102449,G,274410,G,1166757,G
0400000US53,53,Washington,722211,Limited-service restaurants,2007,4881,68694,G,197741,G,846795,G
0400000US54,54,West Virginia,722211,Limited-service restaurants,2007,1272,23819,G,56200,G,242038,G
0400000US55,55,Wisconsin,722211,Limited-service restaurants,2007,3319,64467,G,150411,G,649785,G
0400000US56,56,Wyoming,722211,Limited-service restaurants,2007,367,6638,G,17880,G,78927,G
0400000US72,72,Puerto Rico,722211,Limited-service restaurants,2007,2085,34714,G,77214,G,327163,G
0500000US01001,01001,"Autauga County, Alabama",722211,Limited-service restaurants,2007,32,866,G,1986,G,8561,G
0500000US01003,01003,"Baldwin County, Alabama",722211,Limited-service restaurants,2007,129,2190,H,6299,H,25532,G
0500000US01005,01005,"Barbour County, Alabama",722211,Limited-service restaurants,2007,20,478,G,997,G,4124,G
0500000US01007,01007,"Bibb County, Alabama",722211,Limited-service restaurants,2007,8,145,G,295,G,1302,G
0500000US01009,01009,"Blount County, Alabama",722211,Limited-service restaurants,2007,27,368,G,907,G,4075,G
0500000US01011,01011,"Bullock County, Alabama",722211,Limited-service restaurants,2007,3,b,S,132,H,567,H
0500000US01013,01013,"Butler County, Alabama",722211,Limited-service restaurants,2007,15,319,G,790,G,3337,G
0500000US01015,01015,"Calhoun County, Alabama",722211,Limited-service restaurants,2007,100,2157,G,5327,G,23051,G
0500000US01017,01017,"Chambers County, Alabama",722211,Limited-service restaurants,2007,23,416,G,879,G,3489,G
0500000US01019,01019,"Cherokee County, Alabama",722211,Limited-service restaurants,2007,20,219,H,529,G,2453,G
0500000US01021,01021,"Chilton County, Alabama",722211,Limited-service restaurants,2007,32,537,G,1242,G,5167,G
0500000US01023,01023,"Choctaw County, Alabama",722211,Limited-service restaurants,2007,3,37,H,93,G,404,G
0500000US01025,01025,"Clarke County, Alabama",722211,Limited-service restaurants,2007,26,376,G,896,G,3761,G
0500000US01027,01027,"Clay County, Alabama",722211,Limited-service restaurants,2007,6,96,G,204,G,1378,G
0500000US01029,01029,"Cleburne County, Alabama",722211,Limited-service restaurants,2007,6,66,H,158,H,713,H
0500000US01031,01031,"Coffee County, Alabama",722211,Limited-service restaurants,2007,36,631,G,1484,G,5756,G
