GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,Noise range for number of employees (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
0500000US01001,01001,"Autauga County, Alabama",326,Plastics and rubber products manufacturing,2007,2,c,D,D,D,D,D
0500000US01003,01003,"Baldwin County, Alabama",326,Plastics and rubber products manufacturing,2007,8,e,S,S,S,8430,H
0500000US01005,01005,"Barbour County, Alabama",326,Plastics and rubber products manufacturing,2007,1,b,D,D,D,D,D
0500000US01009,01009,"Blount County, Alabama",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US01013,01013,"Butler County, Alabama",326,Plastics and rubber products manufacturing,2007,2,b,D,D,D,D,D
0500000US01015,01015,"Calhoun County, Alabama",326,Plastics and rubber products manufacturing,2007,5,269,H,1853,H,7454,H
0500000US01017,01017,"Chambers County, Alabama",326,Plastics and rubber products manufacturing,2007,2,c,D,D,D,D,D
0500000US01019,01019,"Cherokee County, Alabama",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US01021,01021,"Chilton County, Alabama",326,Plastics and rubber products manufacturing,2007,2,c,D,D,D,D,D
0500000US01027,01027,"Clay County, Alabama",326,Plastics and rubber products manufacturing,2007,1,b,D,D,D,D,D
0500000US01031,01031,"Coffee County, Alabama",326,Plastics and rubber products manufacturing,2007,2,e,D,D,D,D,D
0500000US01033,01033,"Colbert County, Alabama",326,Plastics and rubber products manufacturing,2007,11,563,G,4398,H,19359,H
0500000US01035,01035,"Conecuh County, Alabama",326,Plastics and rubber products manufacturing,2007,1,b,D,D,D,D,D
0500000US01039,01039,"Covington County, Alabama",326,Plastics and rubber products manufacturing,2007,2,c,D,D,D,D,D
0500000US01043,01043,"Cullman County, Alabama",326,Plastics and rubber products manufacturing,2007,4,f,D,D,D,D,D
0500000US01045,01045,"Dale County, Alabama",326,Plastics and rubber products manufacturing,2007,2,a,D,D,D,D,D
0500000US01047,01047,"Dallas County, Alabama",326,Plastics and rubber products manufacturing,2007,2,c,D,D,D,D,D
0500000US01049,01049,"DeKalb County, Alabama",326,Plastics and rubber products manufacturing,2007,4,e,S,1560,H,6742,H
0500000US01051,01051,"Elmore County, Alabama",326,Plastics and rubber products manufacturing,2007,6,783,H,6763,H,24615,H
0500000US01053,01053,"Escambia County, Alabama",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US01055,01055,"Etowah County, Alabama",326,Plastics and rubber products manufacturing,2007,8,g,D,D,D,D,D
0500000US01059,01059,"Franklin County, Alabama",326,Plastics and rubber products manufacturing,2007,2,c,D,D,D,D,D
0500000US01061,01061,"Geneva County, Alabama",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US01065,01065,"Hale County, Alabama",326,Plastics and rubber products manufacturing,2007,1,b,D,D,D,D,D
0500000US01069,01069,"Houston County, Alabama",326,Plastics and rubber products manufacturing,2007,7,f,D,D,D,D,D
0500000US01071,01071,"Jackson County, Alabama",326,Plastics and rubber products manufacturing,2007,3,22,G,221,H,753,H
0500000US01073,01073,"Jefferson County, Alabama",326,Plastics and rubber products manufacturing,2007,18,1451,H,10942,H,46215,H
0500000US01077,01077,"Lauderdale County, Alabama",326,Plastics and rubber products manufacturing,2007,5,393,H,3300,H,13717,H
0500000US01079,01079,"Lawrence County, Alabama",326,Plastics and rubber products manufacturing,2007,1,b,D,D,D,D,D
0500000US01081,01081,"Lee County, Alabama",326,Plastics and rubber products manufacturing,2007,11,1433,H,17688,H,74723,H
0500000US01083,01083,"Limestone County, Alabama",326,Plastics and rubber products manufacturing,2007,3,196,G,1074,H,4528,H
0500000US01089,01089,"Madison County, Alabama",326,Plastics and rubber products manufacturing,2007,13,770,H,6544,H,31611,H
0500000US01093,01093,"Marion County, Alabama",326,Plastics and rubber products manufacturing,2007,3,f,D,D,D,D,D
0500000US01095,01095,"Marshall County, Alabama",326,Plastics and rubber products manufacturing,2007,9,330,G,2108,G,7658,G
0500000US01097,01097,"Mobile County, Alabama",326,Plastics and rubber products manufacturing,2007,15,815,H,6800,H,30785,H
0500000US01099,01099,"Monroe County, Alabama",326,Plastics and rubber products manufacturing,2007,2,a,D,D,D,D,D
0500000US01101,01101,"Montgomery County, Alabama",326,Plastics and rubber products manufacturing,2007,10,g,D,D,D,D,D
0500000US01103,01103,"Morgan County, Alabama",326,Plastics and rubber products manufacturing,2007,9,e,D,D,D,D,D
0500000US01109,01109,"Pike County, Alabama",326,Plastics and rubber products manufacturing,2007,3,f,D,D,D,D,D
0500000US01111,01111,"Randolph County, Alabama",326,Plastics and rubber products manufacturing,2007,3,92,H,S,S,3603,H
0500000US01115,01115,"St. Clair County, Alabama",326,Plastics and rubber products manufacturing,2007,2,a,D,D,D,D,D
0500000US01117,01117,"Shelby County, Alabama",326,Plastics and rubber products manufacturing,2007,5,c,D,D,D,D,D
0500000US01121,01121,"Talladega County, Alabama",326,Plastics and rubber products manufacturing,2007,4,135,H,930,G,3699,G
0500000US01125,01125,"Tuscaloosa County, Alabama",326,Plastics and rubber products manufacturing,2007,7,h,D,D,D,D,D
0500000US01127,01127,"Walker County, Alabama",326,Plastics and rubber products manufacturing,2007,4,96,H,483,H,2248,H
0500000US01133,01133,"Winston County, Alabama",326,Plastics and rubber products manufacturing,2007,3,c,D,D,D,D,D
0500000US02020,02020,"Anchorage Municipality, Alaska",326,Plastics and rubber products manufacturing,2007,8,95,G,1102,H,4117,H
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",326,Plastics and rubber products manufacturing,2007,3,b,D,D,D,D,D
0500000US04005,04005,"Coconino County, Arizona",326,Plastics and rubber products manufacturing,2007,6,c,D,D,D,D,D
0500000US04012,04012,"La Paz County, Arizona",326,Plastics and rubber products manufacturing,2007,1,b,D,D,D,D,D
0500000US04013,04013,"Maricopa County, Arizona",326,Plastics and rubber products manufacturing,2007,143,6173,G,52597,G,209967,G
0500000US04015,04015,"Mohave County, Arizona",326,Plastics and rubber products manufacturing,2007,8,498,G,5286,G,21265,G
0500000US04019,04019,"Pima County, Arizona",326,Plastics and rubber products manufacturing,2007,29,710,G,7368,H,28412,G
0500000US04021,04021,"Pinal County, Arizona",326,Plastics and rubber products manufacturing,2007,8,290,H,2019,G,8417,G
0500000US04023,04023,"Santa Cruz County, Arizona",326,Plastics and rubber products manufacturing,2007,1,c,D,D,D,D,D
0500000US04025,04025,"Yavapai County, Arizona",326,Plastics and rubber products manufacturing,2007,6,e,D,D,D,D,D
0500000US04027,04027,"Yuma County, Arizona",326,Plastics and rubber products manufacturing,2007,3,c,D,D,D,D,D
0500000US05001,05001,"Arkansas County, Arkansas",326,Plastics and rubber products manufacturing,2007,3,c,D,D,D,D,D
0500000US05003,05003,"Ashley County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
