Areaname,STCOU,BZN025206F,BZN025206D,BZN025206N1,BZN025206N2,BZN025207F,BZN025207D,BZN025207N1,BZN025207N2,BZN025208F,BZN025208D,BZN025208N1,BZN025208N2,BZN025209F,BZN025209D,BZN025209N1,BZN025209N2,BZN035202F,BZN035202D,BZN035202N1,BZN035202N2,BZN035203F,BZN035203D,BZN035203N1,BZN035203N2,BZN035204F,BZN035204D,BZN035204N1,BZN035204N2,BZN035205F,BZN035205D,BZN035205N1,BZN035205N2,BZN035206F,BZN035206D,BZN035206N1,BZN035206N2,BZN035207F,BZN035207D,BZN035207N1,BZN035207N2
"UNITED STATES",00000,0,5199819,0000,0000,0,5564225,0000,0000,0,5605244,0000,0000,0,5121795,0000,0000,0,23871,0000,0000,0,23599,0000,0000,0,23842,0000,0000,0,24696,0000,0000,0,26248,0000,0000,0,26202,0000,0000
ALABAMA,01000,0,191712,0000,0000,0,213445,0000,0000,0,208455,0000,0000,0,187699,0000,0000,1,274,7022,0000,1,274,7022,0000,1,266,7022,0000,1,268,7022,0000,1,271,7022,0000,1,258,7022,0000
"Autauga, AL",01001,0,1330,0000,0000,0,1643,0000,0000,0,1602,0000,0000,0,960,0000,0000,0,2,0000,0000,0,3,0000,0000,0,3,0000,0000,0,4,0000,0000,0,4,0000,0000,0,4,0000,0000
"Baldwin, AL",01003,0,1147,0000,0000,0,874,0000,0000,0,506,0000,0000,0,588,0000,0000,0,7,0000,0000,0,8,0000,0000,0,9,0000,0000,0,9,0000,0000,0,10,0000,0000,0,7,0000,0000
"Barbour, AL",01005,0,3194,0000,0000,0,3773,0000,0000,0,4461,0000,0000,0,4059,0000,0000,0,4,0000,0000,0,4,0000,0000,0,4,0000,0000,0,4,0000,0000,0,5,0000,0000,0,4,0000,0000
"Bibb, AL",01007,0,3085,0000,0000,0,3211,0000,0000,0,2589,0000,0000,0,2113,0000,0000,0,3,0000,0000,0,2,0000,0000,0,2,0000,0000,0,2,0000,0000,0,1,0000,0000,0,1,0000,0000
"Blount, AL",01009,4,0,0000,0000,0,1217,0000,0000,0,1217,0000,0000,0,1014,0000,0000,0,3,0000,0000,0,2,0000,0000,0,2,0000,0000,0,2,0000,0000,0,1,0000,0000,0,0,0000,0000
"Bullock, AL",01011,4,0,0000,0000,4,0,0000,0000,0,3704,0000,0000,0,3463,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000
"Butler, AL",01013,0,5871,0000,0000,0,5699,0000,0000,0,5439,0000,0000,0,4901,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000
"Calhoun, AL",01015,4,0,0000,0000,0,1195,0000,0000,0,1103,0000,0000,0,1364,0000,0000,0,3,0000,0000,0,2,0000,0000,0,2,0000,0000,0,2,0000,0000,0,2,0000,0000,0,2,0000,0000
