Area_name,STCOU,HSG165200F,HSG165200D,HSG165200N1,HSG165200N2,HSG165209F,HSG165209D,HSG165209N1,HSG165209N2,HSG170190F,HSG170190D,HSG170190N1,HSG170190N2,HSG170200F,HSG170200D,HSG170200N1,HSG170200N2,HSG170209F,HSG170209D,HSG170209N1,HSG170209N2,HSG171209F,HSG171209D,HSG171209N1,HSG171209N2,HSG172209F,HSG172209D,HSG172209N1,HSG172209N2,HSG173209F,HSG173209D,HSG173209N1,HSG173209N2,HSG174209F,HSG174209D,HSG174209N1,HSG174209N2,HSG175209F,HSG175209D,HSG175209N1,HSG175209N2
"UNITED STATES",00000,0,8435768,0000,0000,0,7601471,0000,0000,0,18832498,0000,0000,0,17380053,0000,0000,0,18432913,0000,0000,0,1776810,0000,0000,0,3547901,0000,0000,0,11579648,0000,0000,0,21747816,0000,0000,0,27129591,0000,0000
ALABAMA,01000,0,122743,0000,0000,0,112926,0000,0000,0,155557,0000,0000,0,139227,0000,0000,0,141089,0000,0000,0,11565,0000,0000,0,30589,0000,0000,0,134835,0000,0000,0,358988,0000,0000,0,524469,0000,0000
"Autauga, AL",01001,0,500,0000,0000,0,302,0000,0000,0,782,0000,0000,0,715,0000,0000,0,573,0000,0000,0,0,0000,0000,0,125,0000,0000,0,876,0000,0000,0,2404,0000,0000,0,4436,0000,0000
"Baldwin, AL",01003,0,2099,0000,0000,0,1721,0000,0000,0,3050,0000,0000,0,2887,0000,0000,0,2633,0000,0000,0,473,0000,0000,0,1769,0000,0000,0,8200,0000,0000,0,18246,0000,0000,0,24091,0000,0000
"Barbour, AL",01005,0,654,0000,0000,0,540,0000,0000,0,1390,0000,0000,0,1130,0000,0000,0,1115,0000,0000,0,7,0000,0000,0,248,0000,0000,0,874,0000,0000,0,2300,0000,0000,0,3527,0000,0000
"Bibb, AL",01007,0,450,0000,0000,0,284,0000,0000,0,703,0000,0000,0,827,0000,0000,0,772,0000,0000,0,3,0000,0000,0,176,0000,0000,0,508,0000,0000,0,1364,0000,0000,0,2587,0000,0000
"Blount, AL",01009,0,1040,0000,0000,0,1159,0000,0000,0,1385,0000,0000,0,1281,0000,0000,0,1446,0000,0000,0,27,0000,0000,0,52,0000,0000,0,875,0000,0000,0,3156,0000,0000,0,6651,0000,0000
"Bullock, AL",01011,0,214,0000,0000,0,382,0000,0000,0,665,0000,0000,0,468,0000,0000,0,480,0000,0000,0,0,0000,0000,0,34,0000,0000,0,473,0000,0000,0,730,0000,0000,0,1567,0000,0000
"Butler, AL",01013,0,750,0000,0000,0,794,0000,0000,0,1350,0000,0000,0,1186,0000,0000,0,940,0000,0000,0,67,0000,0000,0,163,0000,0000,0,580,0000,0000,0,1598,0000,0000,0,2813,0000,0000
"Calhoun, AL",01015,0,4180,0000,0000,0,4338,0000,0000,0,4750,0000,0000,0,4496,0000,0000,0,4084,0000,0000,0,418,0000,0000,0,539,0000,0000,0,3093,0000,0000,0,9347,0000,0000,0,13188,0000,0000
"Chambers, AL",01017,0,1369,0000,0000,0,1349,0000,0000,0,3126,0000,0000,0,2832,0000,0000,0,2619,0000,0000,0,41,0000,0000,0,217,0000,0000,0,881,0000,0000,0,3189,0000,0000,0,5101,0000,0000
"Cherokee, AL",01019,0,629,0000,0000,0,887,0000,0000,0,914,0000,0000,0,701,0000,0000,0,1045,0000,0000,0,156,0000,0000,0,381,0000,0000,0,836,0000,0000,0,3423,0000,0000,0,4019,0000,0000
"Chilton, AL",01021,0,966,0000,0000,0,845,0000,0000,0,1371,0000,0000,0,1366,0000,0000,0,1199,0000,0000,0,88,0000,0000,0,148,0000,0000,0,988,0000,0000,0,3159,0000,0000,0,5495,0000,0000
"Choctaw, AL",01023,0,312,0000,0000,0,358,0000,0000,0,509,0000,0000,0,466,0000,0000,0,687,0000,0000,0,2,0000,0000,0,82,0000,0000,0,404,0000,0000,0,1388,0000,0000,0,2556,0000,0000
"Clarke, AL",01025,0,731,0000,0000,0,935,0000,0000,0,917,0000,0000,0,979,0000,0000,0,1212,0000,0000,0,94,0000,0000,0,173,0000,0000,0,406,0000,0000,0,2551,0000,0000,0,3645,0000,0000
"Clay, AL",01027,0,334,0000,0000,0,299,0000,0000,0,919,0000,0000,0,932,0000,0000,0,848,0000,0000,0,60,0000,0000,0,2,0000,0000,0,362,0000,0000,0,1400,0000,0000,0,2124,0000,0000
"Cleburne, AL",01029,0,365,0000,0000,0,358,0000,0000,0,501,0000,0000,0,583,0000,0000,0,474,0000,0000,0,0,0000,0000,0,27,0000,0000,0,560,0000,0000,0,1166,0000,0000,0,2116,0000,0000
"Coffee, AL",01031,0,981,0000,0000,0,924,0000,0000,0,1431,0000,0000,0,1161,0000,0000,0,1010,0000,0000,0,30,0000,0000,0,266,0000,0000,0,971,0000,0000,0,3887,0000,0000,0,4881,0000,0000
"Colbert, AL",01033,0,2017,0000,0000,0,1918,0000,0000,0,2137,0000,0000,0,2016,0000,0000,0,1671,0000,0000,0,92,0000,0000,0,303,0000,0000,0,1006,0000,0000,0,4006,0000,0000,0,7087,0000,0000
"Conecuh, AL",01035,0,519,0000,0000,0,651,0000,0000,0,903,0000,0000,0,828,0000,0000,0,742,0000,0000,0,16,0000,0000,0,28,0000,0000,0,432,0000,0000,0,1071,0000,0000,0,1620,0000,0000
"Coosa, AL",01037,0,386,0000,0000,0,426,0000,0000,0,638,0000,0000,0,503,0000,0000,0,814,0000,0000,0,23,0000,0000,0,121,0000,0000,0,329,0000,0000,0,1411,0000,0000,0,1553,0000,0000
