Area_name,STCOU,HSG303200F,HSG303200D,HSG303200N1,HSG303200N2,HSG303209F,HSG303209D,HSG303209N1,HSG303209N2,HSG305190F,HSG305190D,HSG305190N1,HSG305190N2,HSG305200F,HSG305200D,HSG305200N1,HSG305200N2,HSG310180F,HSG310180D,HSG310180N1,HSG310180N2,HSG310190F,HSG310190D,HSG310190N1,HSG310190N2,HSG310200F,HSG310200D,HSG310200N1,HSG310200N2,HSG310209F,HSG310209D,HSG310209N1,HSG310209N2,HSG315180F,HSG315180D,HSG315180N1,HSG315180N2,HSG315190F,HSG315190D,HSG315190N1,HSG315190N2
"UNITED STATES",00000,0,2570705,0000,0000,0,4755985,0000,0000,0,128329,0000,0000,0,132445,0000,0000,0,42657625,0000,0000,0,46850923,0000,0000,0,54027880,0000,0000,0,56461477,0000,0000,0,4534825,0000,0000,0,5243462,0000,0000
ALABAMA,01000,0,73557,0000,0000,0,93372,0000,0000,0,2697,0000,0000,0,951,0000,0000,0,639861,0000,0000,0,645054,0000,0000,0,661032,0000,0000,0,614151,0000,0000,0,231621,0000,0000,0,235062,0000,0000
"Autauga, AL",01001,0,326,0000,0000,0,595,0000,0000,0,42,0000,0000,0,0,0000,0000,0,5697,0000,0000,0,6237,0000,0000,0,7192,0000,0000,0,7344,0000,0000,0,2211,0000,0000,0,2687,0000,0000
"Baldwin, AL",01003,0,1802,0000,0000,0,4086,0000,0000,0,26,0000,0000,0,38,0000,0000,0,9080,0000,0000,0,8638,0000,0000,0,8927,0000,0000,0,10182,0000,0000,0,7056,0000,0000,0,6601,0000,0000
"Barbour, AL",01005,0,766,0000,0000,0,533,0000,0000,0,75,0000,0000,0,10,0000,0000,0,1689,0000,0000,0,1629,0000,0000,0,1602,0000,0000,0,1015,0000,0000,0,3176,0000,0000,0,3563,0000,0000
"Bibb, AL",01007,0,554,0000,0000,0,350,0000,0000,0,52,0000,0000,0,0,0000,0000,0,2495,0000,0000,0,2164,0000,0000,0,2339,0000,0000,0,1798,0000,0000,0,1281,0000,0000,0,1531,0000,0000
"Blount, AL",01009,0,865,0000,0000,0,1143,0000,0000,0,13,0000,0000,0,18,0000,0000,0,2150,0000,0000,0,2735,0000,0000,0,3248,0000,0000,0,3133,0000,0000,0,5185,0000,0000,0,5178,0000,0000
"Bullock, AL",01011,0,316,0000,0000,0,181,0000,0000,0,25,0000,0000,0,12,0000,0000,0,967,0000,0000,0,855,0000,0000,0,748,0000,0000,0,600,0000,0000,0,1422,0000,0000,0,1791,0000,0000
"Butler, AL",01013,0,669,0000,0000,0,838,0000,0000,0,82,0000,0000,0,18,0000,0000,0,1918,0000,0000,0,2115,0000,0000,0,1851,0000,0000,0,1452,0000,0000,0,3141,0000,0000,0,3031,0000,0000
"Calhoun, AL",01015,0,1555,0000,0000,0,2102,0000,0000,0,12,0000,0000,0,6,0000,0000,0,25381,0000,0000,0,25158,0000,0000,0,22338,0000,0000,0,18105,0000,0000,0,5161,0000,0000,0,4980,0000,0000
"Chambers, AL",01017,0,876,0000,0000,0,937,0000,0000,0,49,0000,0000,0,8,0000,0000,0,7545,0000,0000,0,6873,0000,0000,0,5936,0000,0000,0,3843,0000,0000,0,2776,0000,0000,0,2992,0000,0000
"Cherokee, AL",01019,0,513,0000,0000,0,540,0000,0000,0,6,0000,0000,0,2,0000,0000,0,506,0000,0000,0,671,0000,0000,0,1326,0000,0000,0,1417,0000,0000,0,2512,0000,0000,0,3199,0000,0000
"Chilton, AL",01021,0,692,0000,0000,0,700,0000,0000,0,10,0000,0000,0,0,0000,0000,0,2763,0000,0000,0,2739,0000,0000,0,2412,0000,0000,0,1971,0000,0000,0,3928,0000,0000,0,4400,0000,0000
"Choctaw, AL",01023,0,537,0000,0000,0,198,0000,0000,0,86,0000,0000,0,1,0000,0000,0,498,0000,0000,0,587,0000,0000,0,510,0000,0000,0,392,0000,0000,0,3168,0000,0000,0,2809,0000,0000
"Clarke, AL",01025,0,764,0000,0000,0,566,0000,0000,0,78,0000,0000,0,0,0000,0000,0,2464,0000,0000,0,3059,0000,0000,0,3637,0000,0000,0,2340,0000,0000,0,3528,0000,0000,0,3010,0000,0000
"Clay, AL",01027,0,530,0000,0000,0,544,0000,0000,0,26,0000,0000,0,7,0000,0000,0,1245,0000,0000,0,1309,0000,0000,0,1512,0000,0000,0,1116,0000,0000,0,1560,0000,0000,0,1790,0000,0000
"Cleburne, AL",01029,0,530,0000,0000,0,566,0000,0000,0,11,0000,0000,0,0,0000,0000,0,837,0000,0000,0,656,0000,0000,0,666,0000,0000,0,598,0000,0000,0,1983,0000,0000,0,2271,0000,0000
"Coffee, AL",01031,0,984,0000,0000,0,1274,0000,0000,0,16,0000,0000,0,12,0000,0000,0,3280,0000,0000,0,3122,0000,0000,0,2426,0000,0000,0,1603,0000,0000,0,4070,0000,0000,0,3249,0000,0000
"Colbert, AL",01033,0,659,0000,0000,0,889,0000,0000,0,18,0000,0000,0,0,0000,0000,0,5878,0000,0000,0,6538,0000,0000,0,9242,0000,0000,0,8107,0000,0000,0,1787,0000,0000,0,2085,0000,0000
"Conecuh, AL",01035,0,590,0000,0000,0,531,0000,0000,0,50,0000,0000,0,19,0000,0000,0,1110,0000,0000,0,1211,0000,0000,0,1238,0000,0000,0,913,0000,0000,0,2281,0000,0000,0,1889,0000,0000
"Coosa, AL",01037,0,296,0000,0000,0,376,0000,0000,0,7,0000,0000,0,0,0000,0000,0,587,0000,0000,0,644,0000,0000,0,695,0000,0000,0,494,0000,0000,0,1868,0000,0000,0,1918,0000,0000
"Covington, AL",01039,0,1018,0000,0000,0,1024,0000,0000,0,7,0000,0000,0,6,0000,0000,0,4801,0000,0000,0,4934,0000,0000,0,4566,0000,0000,0,3477,0000,0000,0,4050,0000,0000,0,4035,0000,0000
"Crenshaw, AL",01041,0,516,0000,0000,0,536,0000,0000,0,21,0000,0000,0,0,0000,0000,0,981,0000,0000,0,1131,0000,0000,0,1075,0000,0000,0,944,0000,0000,0,2334,0000,0000,0,2424,0000,0000
"Cullman, AL",01043,0,1371,0000,0000,0,1584,0000,0000,0,18,0000,0000,0,14,0000,0000,0,2116,0000,0000,0,2378,0000,0000,0,4315,0000,0000,0,3946,0000,0000,0,3413,0000,0000,0,5408,0000,0000
"Dale, AL",01045,0,917,0000,0000,0,1143,0000,0000,0,6,0000,0000,0,2,0000,0000,0,4693,0000,0000,0,4281,0000,0000,0,3499,0000,0000,0,2372,0000,0000,0,3911,0000,0000,0,2869,0000,0000
"Dallas, AL",01047,0,1227,0000,0000,0,1008,0000,0000,0,142,0000,0000,0,29,0000,0000,0,11028,0000,0000,0,10795,0000,0000,0,9873,0000,0000,0,7747,0000,0000,0,3481,0000,0000,0,2986,0000,0000
"DeKalb, AL",01049,0,1685,0000,0000,0,1556,0000,0000,0,7,0000,0000,0,12,0000,0000,0,2170,0000,0000,0,2236,0000,0000,0,3107,0000,0000,0,2983,0000,0000,0,6189,0000,0000,0,8188,0000,0000
"Elmore, AL",01051,0,784,0000,0000,0,812,0000,0000,0,65,0000,0000,0,19,0000,0000,0,5350,0000,0000,0,5533,0000,0000,0,5480,0000,0000,0,5323,0000,0000,0,4192,0000,0000,0,5082,0000,0000
"Escambia, AL",01053,0,1055,0000,0000,0,1451,0000,0000,0,32,0000,0000,0,0,0000,0000,0,4828,0000,0000,0,3711,0000,0000,0,3052,0000,0000,0,2509,0000,0000,0,3084,0000,0000,0,2358,0000,0000
"Etowah, AL",01055,0,1680,0000,0000,0,2185,0000,0000,0,16,0000,0000,0,8,0000,0000,0,24308,0000,0000,0,24014,0000,0000,0,22944,0000,0000,0,19775,0000,0000,0,5538,0000,0000,0,5272,0000,0000
"Fayette, AL",01057,0,568,0000,0000,0,350,0000,0000,0,14,0000,0000,0,0,0000,0000,0,1803,0000,0000,0,2014,0000,0000,0,2129,0000,0000,0,1824,0000,0000,0,2400,0000,0000,0,1678,0000,0000
"Franklin, AL",01059,0,832,0000,0000,0,561,0000,0000,0,6,0000,0000,0,8,0000,0000,0,2115,0000,0000,0,3757,0000,0000,0,6008,0000,0000,0,5394,0000,0000,0,1778,0000,0000,0,1863,0000,0000
"Geneva, AL",01061,0,769,0000,0000,0,729,0000,0000,0,0,0000,0000,0,0,0000,0000,0,1852,0000,0000,0,1889,0000,0000,0,1399,0000,0000,0,895,0000,0000,0,3168,0000,0000,0,2804,0000,0000
"Greene, AL",01063,0,402,0000,0000,0,320,0000,0000,0,35,0000,0000,0,10,0000,0000,0,850,0000,0000,0,817,0000,0000,0,952,0000,0000,0,815,0000,0000,0,1540,0000,0000,0,1640,0000,0000
"Hale, AL",01065,0,601,0000,0000,0,423,0000,0000,0,46,0000,0000,0,31,0000,0000,0,1798,0000,0000,0,1784,0000,0000,0,1618,0000,0000,0,1391,0000,0000,0,1791,0000,0000,0,1882,0000,0000
"Henry, AL",01067,0,425,0000,0000,0,457,0000,0000,0,25,0000,0000,0,25,0000,0000,0,1149,0000,0000,0,1025,0000,0000,0,772,0000,0000,0,594,0000,0000,0,1953,0000,0000,0,1874,0000,0000
"Houston, AL",01069,0,1608,0000,0000,0,2550,0000,0000,0,15,0000,0000,0,18,0000,0000,0,6605,0000,0000,0,5722,0000,0000,0,4012,0000,0000,0,2832,0000,0000,0,5035,0000,0000,0,4502,0000,0000
"Jackson, AL",01071,0,1429,0000,0000,0,1604,0000,0000,0,26,0000,0000,0,9,0000,0000,0,1868,0000,0000,0,1965,0000,0000,0,3442,0000,0000,0,3032,0000,0000,0,3840,0000,0000,0,4590,0000,0000
