"Areaname","STCOU","MAN110197F","MAN110197D","MAN110197N1","MAN110197N2","MAN110202F","MAN110202D","MAN110202N1","MAN110202N2","MAN110207F","MAN110207D","MAN110207N1","MAN110207N2","MAN130197F","MAN130197D","MAN130197N1","MAN130197N2","MAN130202F","MAN130202D","MAN130202N1","MAN130202N2","MAN130207F","MAN130207D","MAN130207N1","MAN130207N2","MAN210197F","MAN210197D","MAN210197N1","MAN210197N2","MAN210202F","MAN210202D","MAN210202N1","MAN210202N2","MAN210207F","MAN210207D","MAN210207N1","MAN210207N2","MAN230197F","MAN230197D","MAN230197N1","MAN230197N2"
"UNITED STATES","00000","0","363753","0000","0000","0","350828","0000","0000","0","332348","0000","0000","0","120475","0000","0000","0","108728","0000","0000","0","102739","0000","0000","0","16888016","0000","0000","0","14699536","0000","0000","0","13418572","0000","0000","0","572101070","0000","0000"
"ALABAMA","01000","0","5444","0000","0000","0","5119","0000","0000","0","4928","0000","0000","0","2089","0000","0000","0","1813","0000","0000","0","1751","0000","0000","0","352618","0000","0000","0","284127","0000","0000","0","271986","0000","0000","0","10187756","0000","0000"
"Autauga, AL","01001","0","38","0000","0000","0","29","0000","0000","0","33","0000","0000","0","14","0000","0000","0","11","0000","0000","0","10","0000","0000","0","2130","0000","0000","1","0","6010","0000","0","1506","0000","0000","0","69219","0000","0000"
"Baldwin, AL","01003","0","138","0000","0000","0","145","0000","0000","0","162","0000","0000","0","30","0000","0000","0","30","0000","0000","0","34","0000","0000","0","5150","0000","0000","0","4957","0000","0000","0","4795","0000","0000","0","127054","0000","0000"
"Barbour, AL","01005","0","41","0000","0000","0","40","0000","0000","0","38","0000","0000","0","22","0000","0000","0","23","0000","0000","0","20","0000","0000","0","3680","0000","0000","0","4495","0000","0000","0","0","6011","0000","0","92988","0000","0000"
"Bibb, AL","01007","0","27","0000","0000","1","0","6021","0000","1","0","6021","0000","0","17","0000","0000","1","0","6021","0000","1","0","6021","0000","0","1218","0000","0000","1","0","6021","0000","1","0","6021","0000","0","23921","0000","0000"
"Blount, AL","01009","0","60","0000","0000","0","49","0000","0000","0","53","0000","0000","0","13","0000","0000","0","8","0000","0000","0","10","0000","0000","0","2742","0000","0000","0","1563","0000","0000","0","1517","0000","0000","0","49474","0000","0000"
"Bullock, AL","01011","0","6","0000","0000","0","5","0000","0000","0","3","0000","0000","0","2","0000","0000","0","1","0000","0000","0","2","0000","0000","1","0","6009","0000","1","0","6009","0000","0","0","6009","0000","4","0","0000","0000"
"Butler, AL","01013","0","27","0000","0000","0","26","0000","0000","0","23","0000","0000","0","15","0000","0000","0","16","0000","0000","0","12","0000","0000","0","2044","0000","0000","0","1493","0000","0000","0","1170","0000","0000","0","41904","0000","0000"
"Calhoun, AL","01015","0","149","0000","0000","0","150","0000","0000","0","141","0000","0000","0","65","0000","0000","0","61","0000","0000","0","47","0000","0000","0","10841","0000","0000","0","9368","0000","0000","0","6961","0000","0000","0","257848","0000","0000"
"Chambers, AL","01017","0","40","0000","0000","0","37","0000","0000","0","27","0000","0000","0","23","0000","0000","0","18","0000","0000","0","14","0000","0000","0","5612","0000","0000","0","4515","0000","0000","0","0","6010","0000","0","147189","0000","0000"
"Cherokee, AL","01019","0","21","0000","0000","0","26","0000","0000","0","24","0000","0000","0","6","0000","0000","0","7","0000","0000","0","6","0000","0000","0","1194","0000","0000","0","867","0000","0000","0","1171","0000","0000","0","25361","0000","0000"
"Chilton, AL","01021","0","54","0000","0000","0","51","0000","0000","0","52","0000","0000","0","20","0000","0000","0","14","0000","0000","0","14","0000","0000","0","1488","0000","0000","0","1186","0000","0000","0","1444","0000","0000","0","30279","0000","0000"
"Choctaw, AL","01023","0","12","0000","0000","0","6","0000","0000","0","7","0000","0000","0","6","0000","0000","0","4","0000","0000","0","4","0000","0000","1","0","6010","0000","1","0","6010","0000","0","0","6010","0000","4","0","0000","0000"
"Clarke, AL","01025","0","32","0000","0000","0","30","0000","0000","0","31","0000","0000","0","15","0000","0000","0","11","0000","0000","0","9","0000","0000","0","2888","0000","0000","0","2095","0000","0000","0","1592","0000","0000","0","82685","0000","0000"
"Clay, AL","01027","0","15","0000","0000","0","12","0000","0000","0","12","0000","0000","0","6","0000","0000","0","5","0000","0000","0","9","0000","0000","0","2789","0000","0000","0","2299","0000","0000","0","2526","0000","0000","0","49649","0000","0000"
"Cleburne, AL","01029","0","10","0000","0000","0","12","0000","0000","1","0","6021","0000","0","5","0000","0000","0","4","0000","0000","1","0","6021","0000","0","1108","0000","0000","0","947","0000","0000","1","0","6021","0000","0","19885","0000","0000"
"Coffee, AL","01031","0","39","0000","0000","0","40","0000","0000","0","36","0000","0000","0","14","0000","0000","0","13","0000","0000","0","18","0000","0000","0","4725","0000","0000","0","2702","0000","0000","0","3128","0000","0000","0","89846","0000","0000"
"Colbert, AL","01033","0","118","0000","0000","0","110","0000","0000","0","112","0000","0000","0","33","0000","0000","0","33","0000","0000","0","41","0000","0000","0","5581","0000","0000","0","3736","0000","0000","0","4162","0000","0000","0","205794","0000","0000"
"Conecuh, AL","01035","0","21","0000","0000","0","15","0000","0000","0","12","0000","0000","0","10","0000","0000","0","7","0000","0000","0","8","0000","0000","0","821","0000","0000","0","717","0000","0000","0","672","0000","0000","0","17033","0000","0000"
"Coosa, AL","01037","0","11","0000","0000","0","10","0000","0000","0","9","0000","0000","0","6","0000","0000","0","4","0000","0000","0","5","0000","0000","0","978","0000","0000","0","674","0000","0000","0","782","0000","0000","0","22256","0000","0000"
"Covington, AL","01039","0","30","0000","0000","0","31","0000","0000","0","34","0000","0000","0","15","0000","0000","0","10","0000","0000","0","12","0000","0000","0","3872","0000","0000","0","3008","0000","0000","0","2476","0000","0000","0","83451","0000","0000"
"Crenshaw, AL","01041","0","15","0000","0000","0","9","0000","0000","0","10","0000","0000","0","7","0000","0000","0","3","0000","0000","0","4","0000","0000","0","830","0000","0000","0","523","0000","0000","0","986","0000","0000","0","9586","0000","0000"
"Cullman, AL","01043","0","123","0000","0000","0","109","0000","0000","0","124","0000","0000","0","39","0000","0000","0","35","0000","0000","0","44","0000","0000","0","5994","0000","0000","0","4724","0000","0000","0","5306","0000","0000","0","147412","0000","0000"
