Area_name,STCOU,POP020180F,POP020180D,POP020180N1,POP020180N2,POP020190F,POP020190D,POP020190N1,POP020190N2,POP030180F,POP030180D,POP030180N1,POP030180N2,POP030190F,POP030190D,POP030190N1,POP030190N2,POP030200F,POP030200D,POP030200N1,POP030200N2,POP040180F,POP040180D,POP040180N1,POP040180N2,POP040190F,POP040190D,POP040190N1,POP040190N2,POP040200F,POP040200D,POP040200N1,POP040200N2,POP040210F,POP040210D,POP040210N1,POP040210N2,POP050180F,POP050180D,POP050180N1,POP050180N2
"UNITED STATES",00000,0,226542204,0000,0000,0,248718302,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,0,23240184,0000,0000,0,22176098,0000,0000,0,32703604,0000,0000,0,27323632,0000,0000,0,11.4,0000,0000
ALABAMA,01000,0,3894025,0000,0000,0,4040389,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,0,449671,0000,0000,0,146364,0000,0000,0,406711,0000,0000,0,332636,0000,0000,0,13.1,0000,0000
"Autauga, AL",01001,0,32259,0000,0000,0,34222,0000,0000,0,1165,0000,0000,0,1160,0000,0000,0,1022,0000,0000,0,7799,0000,0000,0,1963,0000,0000,0,9449,0000,0000,0,10900,0000,0000,0,31.9,0000,0000
"Baldwin, AL",01003,0,78556,0000,0000,0,98280,0000,0000,0,532,0000,0000,0,467,0000,0000,0,390,0000,0000,0,19174,0000,0000,0,19724,0000,0000,0,42135,0000,0000,0,41850,0000,0000,0,32.3,0000,0000
"Barbour, AL",01005,0,24756,0000,0000,0,25417,0000,0000,0,1420,0000,0000,0,1449,0000,0000,0,1424,0000,0000,0,2213,0000,0000,0,661,0000,0000,0,3621,0000,0000,0,-1581,0000,0000,0,9.8,0000,0000
"Bibb, AL",01007,0,15723,0000,0000,0,16576,0000,0000,0,1925,0000,0000,0,1881,0000,0000,0,1743,0000,0000,0,1911,0000,0000,0,853,0000,0000,0,4250,0000,0000,0,2089,0000,0000,0,13.8,0000,0000
"Blount, AL",01009,0,36459,0000,0000,0,39248,0000,0000,0,1045,0000,0000,0,1019,0000,0000,0,909,0000,0000,0,9606,0000,0000,0,2789,0000,0000,0,11776,0000,0000,0,6298,0000,0000,0,35.8,0000,0000
"Bullock, AL",01011,0,10596,0000,0000,0,11042,0000,0000,0,2334,0000,0000,0,2289,0000,0000,0,2318,0000,0000,0,-1228,0000,0000,0,446,0000,0000,0,672,0000,0000,0,-800,0000,0000,0,-10.4,0000,0000
"Butler, AL",01013,0,21680,0000,0000,0,21892,0000,0000,0,1565,0000,0000,0,1584,0000,0000,0,1718,0000,0000,0,-327,0000,0000,0,212,0000,0000,0,-493,0000,0000,0,-452,0000,0000,0,-1.5,0000,0000
"Calhoun, AL",01015,0,119761,0000,0000,0,116032,0000,0000,0,350,0000,0000,0,396,0000,0000,0,478,0000,0000,0,16669,0000,0000,0,-3729,0000,0000,0,-3783,0000,0000,0,6323,0000,0000,0,16.2,0000,0000
"Chambers, AL",01017,0,39191,0000,0000,0,36876,0000,0000,0,971,0000,0000,0,1078,0000,0000,0,1200,0000,0000,0,2835,0000,0000,0,-2315,0000,0000,0,-293,0000,0000,0,-2368,0000,0000,0,7.8,0000,0000
