"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in pounds), for "" All industries,"" for ""<a href=https://iaspub.epa.gov/triexplorer/tri_text.list_chemical_osha>Occupational Safety and Health Administration (OSHA) Chemicals, ""U.S., ""1990"
"Row #","Chemical","CAS Number","Fugitive Air","Stack Air","Total Air","Surface Water","Total","Total","Land Treatment/","Total Surface","Other Land","Total On-site","Total On-site","Off-Site","Off-Site","Off-Site","Total Off-Site","POTWs (Metal","Total Off-Site","Off-Site","Off-Site Disposal-","Off-Site Disposal-","Off-Site","Off-Site","Total Off-site","Total On- and "
"","","","","","Emissions","Discharges","Underground","","Application","Impoundments","Disposal","Releases to","Disposal or","Disposal-","Disposal-","Disposal-","Disposal-","and Metal","Disposal-","Disposal-","Disposal-","Disposal-","Disposal-","Disposal-","Disposal or","Off-site"
"","","","","","","","Injection","","Farming","","","Land","Other Releases","Storage Only","Solidification","Treatment-","Underground","Compounds)","Landfill/Surf.","Land Treatment","Other Land","Other Off-site","Waste Broker","Unknown","Other Releases","Disposal or"
"","","","","","","","","","","","","","","","/Stabilization (Metals Only)","Treatment-Metals Only","Injection","","Surface Impoundments","","Disposal","Management","","","","Other Releases"
"1","1,1-DIMETHYL HYDRAZINE","000057147","             100.0000000","             363.0000000","             463.0000000","             250.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","             713.0000000",".",".",".",".",".","              33.0000000",".",".",".",".",".","              33.0000000","             746.0000000"
"2","1,2-BUTYLENE OXIDE","000106887","          54,696.0000000","          24,769.0000000","          79,465.0000000","           4,625.0000000","                .0000000","                .0000000","                .0000000","                .0000000","               5.0000000","               5.0000000","          84,095.0000000",".",".",".","                .0000000",".",".",".",".",".","           7,930.0000000","               5.0000000","           7,935.0000000","          92,030.0000000"
"3","1,2-DIBROMOETHANE","000106934","          22,633.0000000","          45,247.0000000","          67,880.0000000","                .0000000","             495.0000000","                .0000000","             125.0000000","                .0000000","                .0000000","             125.0000000","          68,500.0000000",".",".",".",".",".","             250.0000000","           7,400.0000000",".","             500.0000000",".",".","           8,150.0000000","          76,650.0000000"
"4","1,2-DICHLOROETHANE","000107062","       1,167,610.0000000","       4,441,542.0000000","       5,609,152.0000000","          49,513.0000000","         826,672.0000000","               3.0000000","             100.0000000","           6,645.0000000","             603.0000000","           7,351.0000000","       6,492,688.0000000","             181.0000000",".",".",".",".","          30,958.0000000",".",".","           2,140.0000000",".",".","          33,279.0000000","       6,525,967.0000000"
"5","1,3-BUTADIENE","000106990","       3,102,164.0000000","       2,090,687.0000000","       5,192,851.0000000","         111,234.0000000","           1,605.0000000","           2,905.0000000","           3,512.0000000","               5.0000000","               6.0000000","           6,428.0000000","       5,312,118.0000000",".",".",".",".",".","          21,901.0000000",".",".",".",".",".","          21,901.0000000","       5,334,019.0000000"
"6","1,3-DICHLOROPROPYLENE","000542756","          46,570.0000000","          12,903.0000000","          59,473.0000000","             310.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","          59,783.0000000",".",".",".",".",".",".",".",".",".",".",".",".","          59,783.0000000"
"7","1,4-DICHLOROBENZENE","000106467","          96,238.0000000","         721,895.0000000","         818,133.0000000","           3,912.0000000","             255.0000000","               5.0000000","               5.0000000","              23.0000000","               5.0000000","              38.0000000","         822,338.0000000","               1.0000000",".",".",".",".","           4,005.0000000",".",".",".",".",".","           4,006.0000000","         826,344.0000000"
