"Incidence Rate Report for United States by County",,,,,,,,,,
,,,,,,,,,,
"Bladder, 2010-2014",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
"Sorted by Rate",,,,,,,,,,
,,,,,,,,,,
"County"," FIPS","Met Healthy People Objective of ***?","Age-Adjusted Incidence Rate(�) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","Average Annual Count","Recent Trend","Recent 5-Year Trend (�) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)","0","***","20.5","20.4","20.6","71484","falling","-1.3","-2.1","-0.4"
"Wirt County, West Virginia(6,10)","54105","***","48.8","27.2","81.4","3","*","*","*","*"
"Union County, Florida(6,10)","12125","***","46.6","32.2","65.5","8","stable","-12.9","-38","22.4"
"Putnam County, Illinois(6,10)","17155","***","46.4","28","74.3","4","stable","-5.1","-46.6","68.7"
"Tucker County, West Virginia(6,10)","54093","***","40.2","24.7","63.6","4","stable","9.3","-39.8","98.5"
"Lewis County, Tennessee(6,10)","47101","***","40.2","27.1","57.8","6","stable","-9.6","-30.9","18.2"
"Carter County, Kentucky(7,8)","21043","***","40.2","30.7","51.7","13","stable","5.2","0","10.8"
"Vilas County, Wisconsin(6,10)","55125","***","38.8","29.9","50.2","15","stable","-0.7","-18.5","21"
"Lincoln County, Montana(6,10)","30053","***","38.7","29.4","50.7","13","stable","-13.6","-29.7","6.3"
"Menifee County, Kentucky(7)","21165","***","38","21.4","63.7","3","*","*","*","*"
"Montgomery County, New York(6,10)","36057","***","38","31.5","45.5","26","stable","-8.9","-35.7","28.9"
"Greene County, New York(6,10)","36039","***","37.8","31.5","45.1","26","stable","-1.7","-28.3","34.8"
"Ketchikan Gateway Borough, Alaska(6,10)","2130","***","37.5","23","57.2","5","stable","10.5","-6","29.8"
"Jackson County, Kentucky(7)","21109","***","37.2","24.8","53.9","6","*","*","*","*"
"McLean County, North Dakota(6,10)","38055","***","36.6","23.8","55.2","5","stable","0.9","-37.4","62.7"
"Modoc County, California(7,8)","6049","***","35.6","22.4","54.7","5","stable","-5","-58.7","118.9"
"White County, Illinois(6,10)","17193","***","35.5","24.9","49.8","8","stable","-8.9","-29.1","17"
"Lyon County, Kentucky(7)","21143","***","35.3","22.2","55.1","5","*","*","*","*"
"Clay County, Illinois(6,10)","17025","***","34.9","24.3","49.2","7","stable","-9.1","-39.4","36.5"
"Hamilton County, Nebraska(6,10)","31081","***","34.9","21.7","54.1","4","stable","0.1","-32.1","47.7"
"Cape May County, New Jersey(7,8)","34009","***","34.8","30.7","39.5","56","rising","1.4","0.6","2.2"
"Hancock County, Maine(6,10)","23009","***","34.5","29","40.8","29","stable","9.1","-25","58.7"
"Clarke County, Iowa(7)","19039","***","34.2","21.4","52.6","5","*","*","*","*"
"Ida County, Iowa(7)","19093","***","34","20.3","55.2","4","*","*","*","*"
"Moffat County, Colorado(6,10)","8081","***","33.7","20.7","51.8","4","stable","22.8","-33.1","125.3"
"Clay County, South Dakota(6,10)","46027","***","33.7","20.3","52.6","4","stable","0.5","-56.2","130.6"
"Niagara County, New York(6,10)","36063","***","33.7","30.7","36.9","96","stable","3.3","-1.9","8.7"
"Powell County, Kentucky(7,8)","21197","***","33.6","21.2","50.9","5","stable","2.1","-3.5","8.1"
