"Incidence Rate Report for United States by County",,,,,,,,,,
,,,,,,,,,,
"Breast, 2010-2014",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Female, All Ages",,,,,,,,,,
,,,,,,,,,,
"Sorted by Rate",,,,,,,,,,
,,,,,,,,,,
"County"," FIPS","Met Healthy People Objective of ***?","Age-Adjusted Incidence Rate(�) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","Average Annual Count","Recent Trend","Recent 5-Year Trend (�) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)","0","***","123.5","123.3","123.8","228664","stable","0.5","-0.3","1.2"
"Williamsburg City, Virginia(6,10)","51830","***","299.1","238.9","370.1","21","stable","5","-35","69.9"
"Haakon County, South Dakota(6,10)","46055","***","229.5","128.5","395","4","stable","-3.6","-34.9","42.9"
"Franklin City, Virginia(6,10)","51620","***","220.4","165.3","288.3","12","stable","12.3","-23","63.7"
"Potter County, South Dakota(6,10)","46107","***","207.6","115.2","355","4","stable","6.9","-66.1","237.3"
"Adams County, North Dakota(6,10)","38001","***","205.7","111.1","354.4","4","stable","4","-36","69.1"
"Teton County, Montana(6,10)","30099","***","195.5","138.2","270.8","9","stable","-0.9","-34.1","48.9"
"Bowman County, North Dakota(6,10)","38011","***","190.5","107.8","313.7","4","*","*","*","*"
"Lyman County, South Dakota(6,10)","46085","***","188.5","112.9","297.3","4","stable","-3","-23.5","22.9"
"Scott County, Illinois(6,10)","17171","***","187.8","127","269.9","7","stable","18.2","-21.7","78.4"
"Bibb County, Alabama(6,10)","1007","***","185.7","153.1","223.6","24","stable","3.4","-11.1","20.3"
"Grundy County, Missouri(6,10)","29079","***","184.7","138","242.3","12","stable","11.1","-31","79.1"
"Keith County, Nebraska(6,10)","31101","***","182.1","131.7","246.9","10","stable","14.5","-24.3","73.3"
"Fallon County, Montana(6,10)","30025","***","180.8","98.8","305.2","3","*","*","*","*"
