"Incidence Rate Report for United States by County",,,,,,,,,,
,,,,,,,,,,
"Childhood (Ages <20, All Sites), 2010-2014",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, Ages <20",,,,,,,,,,
,,,,,,,,,,
"Sorted by Rate",,,,,,,,,,
,,,,,,,,,,
"County"," FIPS","Met Healthy People Objective of ***?","Age-Adjusted Incidence Rate(�) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","Average Annual Count","Recent Trend","Recent 5-Year Trend (�) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)","0","***","17.6","17.4","17.7","14580","stable","0.2","-0.3","0.8"
"Dodge County, Nebraska(6,10)","31053","***","34.7","20.2","55.6","3","*","*","*","*"
"Sumter County, Florida(6,10)","12119","***","34.3","19.6","55.7","3","*","*","*","*"
"Montrose County, Colorado(6,10)","8085","***","34.2","20.3","54.1","4","stable","-2.9","-38.9","54.5"
"Marinette County, Wisconsin(6,10)","55075","***","34.2","19.5","55.7","3","*","*","*","*"
"Jasper County, Texas(6,10)","48241","***","33.8","19.3","54.8","3","*","*","*","*"
"Perry County, Ohio(6,10)","39127","***","32.9","18.8","53.5","3","*","*","*","*"
"Fulton County, New York(6,10)","36035","***","32.9","20.6","50","4","stable","0.2","-25.9","35.6"
"Perry County, Pennsylvania(6,10)","42099","***","31.6","18.7","50","4","stable","-2.2","-48.9","87.4"
"Delaware County, New York(6,10)","36025","***","30.9","17.5","50.6","3","*","*","*","*"
"Carbon County, Pennsylvania(6,10)","42025","***","30","18.8","45.6","4","stable","-6.9","-44.1","55"
"Muscatine County, Iowa(7)","19139","***","29.9","17.7","47.3","4","*","*","*","*"
"Lawrence County, Tennessee(6,10)","47099","***","29.9","17.4","47.8","3","*","*","*","*"
"Boone County, Indiana(6,10)","18011","***","29.6","19.3","43.5","5","stable","-16.2","-55.3","57"
"Anderson County, Tennessee(6,10)","47001","***","29.2","19.1","42.9","5","stable","-10.2","-51.8","67.3"
"Hall County, Nebraska(6,10)","31079","***","28.8","18.8","42.3","5","stable","-5.3","-34","35.9"
"Somerset County, Pennsylvania(6,10)","42111","***","28.6","18.1","43.1","5","stable","10.9","-57.7","190.5"
"Troup County, Georgia(7)","13285","***","28.5","18.9","41.2","6","*","*","*","*"
"Washington County, New York(6,10)","36115","***","28.1","17.2","43.5","4","stable","-10","-42","39.7"
"St. Francois County, Missouri(6,10)","29187","***","28.1","17.6","42.5","4","stable","-6.3","-40.6","48"
"Columbia County, Pennsylvania(6,10)","42037","***","27.9","17.2","42.8","4","stable","2.1","-50.5","110.5"
"Rutherford County, North Carolina(6,10)","37161","***","27.7","17.3","41.9","4","stable","-5.1","-25.6","20.9"
"Carter County, Tennessee(6,10)","47019","***","27.5","16","44.1","3","*","*","*","*"
"Chautauqua County, New York(6,10)","36013","***","27.5","20","36.8","9","stable","28.4","-16","96.5"
"Hancock County, Indiana(6,10)","18059","***","27.4","17.9","40.2","5","stable","-36.8","-61.8","4.6"
"Bradford County, Pennsylvania(6,10)","42015","***","27.3","16.9","41.7","4","stable","0.5","-39.3","66.3"
"Jackson County, Georgia(7)","13157","***","26.1","16.4","39.6","4","*","*","*","*"
"Belknap County, New Hampshire(6,10)","33001","***","26.1","15.2","41.8","3","*","*","*","*"
"Ulster County, New York(6,10)","36111","***","25.8","19.3","33.9","11","stable","7.7","-1.7","17.9"
"Washington County, Ohio(6,10)","39167","***","25.8","15.2","40.8","4","falling","-21.8","-32.8","-8.9"
"Newaygo County, Michigan(6,10)","26123","***","25.8 #  ","14.7","41.9","3","*","*","*","*"
"Talladega County, Alabama(6,10)","1121","***","25.7","16.8","37.7","5","stable","5.4","-12.7","27.3"
"Oxford County, Maine(6,10)","23017","***","25.7","14.6","41.7","3","*","*","*","*"
"Culpeper County, Virginia(6,10)","51047","***","25.6","14.9","41","3","*","*","*","*"
"Merrimack County, New Hampshire(6,10)","33013","***","25.5","18.5","34.3","9","stable","5.6","-17.2","34.6"
"Pearl River County, Mississippi(6,10)","28109","***","25.5","15.4","39.9","4","stable","-18.6","-56.5","52.3"
"Klamath County, Oregon(6,10)","41035","***","25.3","15.6","38.7","4","stable","11.6","-38.1","101"
"Lamar County, Mississippi(6,10)","28073","***","25.2","15.4","38.9","4","stable","39.8","-13.3","125.4"
"Forrest County, Mississippi(6,10)","28035","***","25.2","16.6","36.7","5","stable","2.1","-30.7","50.4"
"Daviess County, Kentucky(7)","21059","***","25.1","17.3","35.3","7","*","*","*","*"
"Jefferson County, West Virginia(6,10)","54037","***","25.1","14.9","39.7","4","stable","13.3","-18","56.6"
"Medina County, Texas(6,10)","48325","***","24.8","14.2","40.5","3","*","*","*","*"
"Saratoga County, New York(6,10)","36091","***","24.7","19.2","31.4","13","stable","3.2","-25.2","42.3"
"Howard County, Indiana(6,10)","18067","***","24.7","16.1","36.2","5","stable","-2","-34.7","47.1"
"Skagit County, Washington(7)","53057","***","24.6","17.3","33.9","7","*","*","*","*"
"Pike County, Pennsylvania(6,10)","42103","***","24.6","14.1","40.1","3","*","*","*","*"
"Lowndes County, Mississippi(6,10)","28087","***","24.4","14.9","37.7","4","stable","0.3","-18.6","23.6"
"Rockingham County, New Hampshire(6,10)","33015","***","24.4","19.5","30.3","17","stable","3.7","-29.8","53"
"Rensselaer County, New York(6,10)","36083","***","24.4","17.9","32.4","10","stable","0.4","-22.4","29.7"
