"Incidence Rate Report for United States by County",,,,,,,,,,
,,,,,,,,,,
"Non-Hodgkin Lymphoma, 2010-2014",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
"Sorted by Rate",,,,,,,,,,
,,,,,,,,,,
"County"," FIPS","Met Healthy People Objective of ***?","Age-Adjusted Incidence Rate(�) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","Average Annual Count","Recent Trend","Recent 5-Year Trend (�) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)","0","***","19","18.9","19","65554","falling","-1.2","-1.7","-0.7"
"Union County, Florida(6,10)","12125","***","54.6","39.6","73.7","9","stable","-2.9","-39.6","55.9"
"Keith County, Nebraska(6,10)","31101","***","36.3","22.2","57.3","5","stable","20.1","-33.4","116.5"
"Vilas County, Wisconsin(6,10)","55125","***","35.4","26.7","46.6","14","stable","-2.9","-20.8","18.9"
"Camp County, Texas(6,10)","48063","***","34.6","22.7","51","5","stable","6.8","-33.5","71.4"
"Decatur County, Tennessee(6,10)","47039","***","34.1","22.3","50.7","6","stable","-5.2","-33","34.2"
"Sullivan County, Pennsylvania(6,10)","42113","***","33.8","18.2","59.6","3","*","*","*","*"
"Harrison County, Iowa(7)","19085","***","33.7","22.4","48.9","6","*","*","*","*"
"Davis County, Iowa(7)","19051","***","33.4","20","53.1","4","*","*","*","*"
"Powell County, Kentucky(7)","21197","***","33.2","20.2","51.4","4","*","*","*","*"
"Forest County, Wisconsin(6,10)","55041","***","32.8","20.5","50.9","5","stable","-8.9","-34.2","26.1"
"Washburn County, Wisconsin(6,10)","55129","***","31.3","21.8","44.3","8","stable","-4.1","-47.5","75"
"Calhoun County, West Virginia(6,10)","54013","***","30.9","17.3","52.2","3","*","*","*","*"
"Jefferson County, Montana(6,10)","30043","***","30.9","17.7","50.3","4","stable","26.2","-22.8","106.1"
"Clayton County, Iowa(7,8)","19043","***","30.9","21","44","7","rising","2.7","0.8","4.7"
"Winnebago County, Iowa(7)","19189","***","30.6","18.9","47.6","5","*","*","*","*"
"Houston County, Tennessee(6,10)","47083","***","30.6","17.1","51.1","3","*","*","*","*"
"Franklin County, Iowa(7,8)","19069","***","30.5","19.1","47","5","rising","3.1","0.1","6.2"
"Metcalfe County, Kentucky(7)","21169","***","30.2","18.3","47.4","4","*","*","*","*"
"Wells County, Indiana(6,10)","18179","***","30","22.2","39.8","10","stable","15.8","-7.8","45.4"
"Hamilton County, Illinois(6,10)","17065","***","30","17.6","48.8","4","stable","-5.2","-41","52.2"
"Madison County, Missouri(6,10)","29123","***","30","18.9","45.6","5","rising","37.9","10.7","71.9"
"Palo Alto County, Iowa(7)","19147","***","30","16.9","49.6","4","*","*","*","*"
"Rains County, Texas(6,10)","48379","***","29.8","18.8","45.9","5","stable","-11.3","-39","29"
