Incidence Rate Report for United States by County

"Kidney & Renal Pelvis, 2010-2014"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,***,16.1 ,16, 16.2,56558,rising,0.5 ,0.2, 0.8
"Pulaski County, Illinois(6,10)",17153,***,47.4 ,27.6, 76.9,4,stable,-13.2 ,-35.6, 17.0
"Brooks County, Texas(6,10)",48047,***,39.1 ,22.1, 64.5,3,*,*,*,*
"Clay County, Illinois(6,10)",17025,***,38 ,25.2, 55,6,stable,6.5 ,-25.2, 51.6
"Dawson County, Texas(6,10)",48115,***,36.9 ,24.2, 53.9,5,stable,13.6 ,-21.0, 63.3
"Union County, Florida(6,10)",12125,***,36.6 ,24.8, 52.5,7,stable,9.7 ,-40.4, 102.1
"Hamilton County, Illinois(6,10)",17065,***,36 ,21.4, 57.5,4,stable,8.7 ,-35.5, 83.0
"Edmonson County, Kentucky(7,8)",21061,***,34.6 ,22.4, 51.5,5,rising,9.7 ,4.1, 15.6
"Ralls County, Missouri(6,10)",29173,***,34.4 ,20.6, 54.3,4,*,*,*,*
"Cass County, Illinois(6,10)",17017,***,34.3 ,22.5, 50.3,6,stable,22.2 ,-6.2, 59.3
"Sunflower County, Mississippi(6,10)",28133,***,33.5 ,24.3, 45.1,9,stable,20.5 ,-16.6, 73.9
"Carroll County, Missouri(6,10)",29033,***,33 ,19.7, 52.6,4,stable,7.5 ,-29.8, 64.9
"Webster County, Mississippi(6,10)",28155,***,33 ,19.5, 52.5,4,stable,23.5 ,-13.3, 75.9
"Wilbarger County, Texas(6,10)",48487,***,32.9 ,21.2, 48.8,5,stable,2.3 ,-28.9, 47.0
"Lanier County, Georgia(7)",13173,***,32.9 ,18.5, 53.7,3,*,*,*,*
"Johnson County, Illinois(6,10)",17087,***,32.1 ,20.3, 48.6,5,stable,-5.7 ,-38.9, 45.6
"Reynolds County, Missouri(6,10)",29179,***,32 ,18.5, 53.7,3,*,*,*,*
"Mississippi County, Missouri(6,10)",29133,***,31.8 ,21, 46.5,6,stable,-10.5 ,-50.5, 61.6
"Richmond County, Virginia(6,10)",51159,***,31.8 ,19.2, 50.6,4,*,*,*,*
"Prairie County, Arkansas(6,10)",05117,***,31.3 ,18.6, 50.5,4,*,*,*,*
"Nolan County, Texas(6,10)",48353,***,31.3 ,20.4, 46,6,stable,-24.3 ,-49.1, 12.7
"St. Helena Parish, Louisiana(7,8)",22091,***,31.1 ,18, 50,4,stable,6.0 ,-2.7, 15.6
"Benton County, Mississippi(6,10)",28009,***,31 ,17.3, 51.5,3,*,*,*,*
"Vermillion County, Indiana(6,10)",18165,***,31 ,21.1, 44.2,7,stable,3.6 ,-44.1, 92.3
"Wayne County, Missouri(6,10)",29223,***,30.8 ,20.3, 45.5,6,stable,44.4 ,-15.2, 145.8
"Perry County, Arkansas(6,10)",05105,***,30.7 ,17.6, 49.9,4,stable,-22.0 ,-52.6, 28.3
"Owen County, Kentucky(7)",21187,***,30.5 ,18, 48.6,4,*,*,*,*
"Calhoun County, Mississippi(6,10)",28013,***,30.4 ,19.8, 44.8,5,stable,-15.8 ,-45.9, 31.2
"Powell County, Kentucky(7)",21197,***,30.3 ,18, 47.8,4,*,*,*,*
"Mason County, Illinois(6,10)",17125,***,30.2 ,20.3, 43.9,6,stable,-24.0 ,-59.7, 43.2
"Osceola County, Michigan(6,10)",26133,***,30.2 #  ,21.7, 41,9,stable,9.5 ,-13.5, 38.7
"Christian County, Illinois(6,10)",17021,***,30.2 ,23.3, 38.6,14,stable,-2.1 ,-26.1, 29.6
"Goliad County, Texas(6,10)",48175,***,29.9 ,16.8, 50.8,3,*,*,*,*
"Madison County, Missouri(6,10)",29123,***,29.7 ,18.8, 45.2,5,stable,0.3 ,-47.7, 92.2
"Webster County, Kentucky(7)",21233,***,29.4 ,18.8, 44.2,5,*,*,*,*
"Clay County, Kentucky(7,8)",21051,***,29.1 ,20, 41.1,7,rising,9.3 ,2.0, 17.2
"St. Landry Parish, Louisiana(7,8)",22097,***,29 ,24.3, 34.4,28,rising,4.6 ,1.0, 8.3
"Deaf Smith County, Texas(6,10)",48117,***,29 ,19.1, 42.1,6,stable,-10.5 ,-57.0, 86.2
"Chester County, Tennessee(6,10)",47023,***,28.7 ,18.9, 42.1,6,stable,5.2 ,-0.6, 11.2
"Pointe Coupee Parish, Louisiana(7,8)",22077,***,28.7 ,20.2, 39.7,8,stable,4.0 ,-2.1, 10.3
"Massac County, Illinois(6,10)",17127,***,28.4 ,18.3, 42.4,5,stable,-7.9 ,-30.0, 21.3
"Jackson County, Iowa(7)",19097,***,28.4 ,19.6, 40.2,7,*,*,*,*
"Clinton County, Missouri(6,10)",29049,***,28.4 ,19.7, 39.8,7,stable,-2.5 ,-40.4, 59.4
"Greene County, Illinois(6,10)",17061,***,28.3 ,17.6, 43.3,5,stable,29.6 ,-26.2, 127.7
"White County, Illinois(6,10)",17193,***,28.3 ,19, 41.2,6,stable,-3.4 ,-23.8, 22.6
"Coleman County, Texas(6,10)",48083,***,27.9 ,16.4, 45.9,4,stable,-3.4 ,-36.8, 47.5
"Tippah County, Mississippi(6,10)",28139,***,27.8 ,19.1, 39.2,7,stable,6.2 ,-26.3, 52.9
"Howard County, Iowa(7)",19089,***,27.8 ,16.1, 45.4,3,*,*,*,*
"Ellis County, Texas(6,10)",48139,***,27.7 ,24, 31.9,42,stable,6.8 ,-6.3, 21.9
