"Incidence Rate Report for United States by County",,,,,,,,,,
,,,,,,,,,,
"Leukemia, 2010-2014",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
"Sorted by Rate",,,,,,,,,,
,,,,,,,,,,
"County"," FIPS","Met Healthy People Objective of ***?","Age-Adjusted Incidence Rate(�) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","Average Annual Count","Recent Trend","Recent 5-Year Trend (�) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)","0","***","13.6","13.5","13.7","46254","falling","-1.3","-2.2","-0.4"
"Turner County, South Dakota(6,10)","46125","***","37.5","21.8","60.5","4","stable","25","-38.5","154.1"
"Mountrail County, North Dakota(6,10)","38061","***","37","20.8","60.7","3","*","*","*","*"
"Union County, South Dakota(6,10)","46127","***","27.9","17.9","42","5","stable","9.3","-34.7","82.8"
"Yell County, Arkansas(6,10)","5149","***","27.1","18.5","38.4","7","rising","19.6","2.7","39.1"
"Scott County, Arkansas(6,10)","5127","***","26.8","15.1","44.1","3","*","*","*","*"
"Washington County, Kentucky(7)","21229","***","26.4","15.6","42.1","4","*","*","*","*"
"Sac County, Iowa(7)","19161","***","25.7","14.9","42.4","4","*","*","*","*"
"Page County, Iowa(7)","19145","***","25.4","16.7","37.6","6","*","*","*","*"
"Ashe County, North Carolina(6,10)","37009","***","25.1","17.9","34.5","9","stable","21.6","-11.4","66.8"
"Adair County, Iowa(7)","19001","***","25","14.5","42.6","4","*","*","*","*"
"Hughes County, Oklahoma(6,10)","40063","***","24.9","15.6","38.2","5","*","*","*","*"
"Davison County, South Dakota(6,10)","46035","***","24.6","16","36.2","6","stable","-8.9","-35.5","28.8"
"Barnes County, North Dakota(6,10)","38003","***","24.4","14.1","39.9","4","stable","-16","-47.5","34.4"
"Northampton County, Virginia(6,10)","51131","***","24.4","13.8","40.1","4","*","*","*","*"
"Randolph County, Indiana(6,10)","18135","***","24.3","17.1","33.8","8","stable","1.2","-36","60"
"Webster County, Kentucky(7)","21233","***","23.6","14","37.6","4","*","*","*","*"
"Jefferson County, Montana(6,10)","30043","***","23.5","12.9","40.1","4","stable","-8.1","-44.5","52"
"Perry County, Mississippi(6,10)","28111","***","23.2","13.4","37.8","3","*","*","*","*"
"Oldham County, Kentucky(7)","21185","***","23.2","17.6","30","13","*","*","*","*"
"Montgomery County, Missouri(6,10)","29139","***","23","13.6","37.1","4","stable","15.1","-38.3","114.6"
"Barton County, Missouri(6,10)","29011","***","23","13.7","36.8","4","stable","24","-51.4","216.7"
"Ashland County, Wisconsin(6,10)","55003","***","23","14.3","35.2","5","*","*","*","*"
"Ford County, Illinois(6,10)","17053","***","22.8","13.9","35.9","4","stable","29.1","-7.5","80.2"
"Union County, Florida(6,10)","12125","***","22.7","13.4","36.4","4","rising","15.1","8.1","22.6"
"Carroll County, Iowa(7,8)","19027","***","22.7","14.8","33.4","6","stable","1","-1.7","3.8"
"Genesee County, New York(6,10)","36037","***","22.4","17.8","28","17","stable","10.7","-12.9","40.6"
"Iron County, Utah(7)","49021","***","22.4","16.3","29.9","9","*","*","*","*"
"Madison County, Idaho(6,10)","16065","***","22.3","13.8","33.7","5","stable","-7.1","-33.5","29.6"
"Mercer County, Illinois(6,10)","17131","***","22.3","13.4","34.9","4","stable","17.7","-45.4","153.8"
"Jennings County, Indiana(6,10)","18079","***","22.2","15.3","31.3","7","stable","1.5","-22.4","32.9"
"Sanders County, Montana(6,10)","30089","***","22.2","11.6","39","3","*","*","*","*"
"Montgomery County, New York(6,10)","36057","***","22.1","17","28.2","14","stable","11.4","-13.3","43.1"
"Rusk County, Wisconsin(6,10)","55107","***","22","13","35.3","4","stable","6","-34.7","72.2"
"Lewis County, West Virginia(6,10)","54041","***","21.8","13.7","33.4","5","stable","-4.3","-41.4","56.4"
"Union County, Georgia(7,8)","13291","***","21.7","14.4","32","8","stable","2.7","-3","8.7"
"Columbia County, Wisconsin(6,10)","55021","***","21.7","16.9","27.5","15","stable","-9.8","-24.2","7.3"
"Lincoln County, Wisconsin(6,10)","55069","***","21.6","15","30.4","8","stable","-13.3","-28.4","5"
"Harrison County, Texas(6,10)","48203","***","21.6","17.1","27","16","stable","15.4","-32.3","96.8"
"Putnam County, New York(6,10)","36079","***","21.6","17.7","26.1","23","stable","-0.1","-13.3","15.2"
"Trinity County, California(7)","6105","***","21.5","11.7","36.6","4","*","*","*","*"
"Vinton County, Ohio(6,10)","39163","***","21.5","12.1","35.7","3","*","*","*","*"
"Codington County, South Dakota(6,10)","46029","***","21.5","14.8","30.3","7","stable","5.6","-48.7","117.2"
"Lewis and Clark County, Montana(6,10)","30049","***","21.5","17","26.8","17","stable","-8","-17.4","2.5"
"Washington County, Mississippi(6,10)","28151","***","21.5","16","28.1","11","stable","-13.4","-31.2","9"
"Clark County, Wisconsin(6,10)","55019","***","21.5","15.4","29.1","9","stable","-7.2","-32","26.6"
"Warren County, New York(6,10)","36113","***","21.5","17.1","26.7","18","stable","2.9","-20.4","33"
"Meriwether County, Georgia(7,8)","13199","***","21.5","13.8","31.9","5","stable","6.5","-0.1","13.6"
"Stewart County, Tennessee(6,10)","47161","***","21.4","13","33.9","4","stable","-15.2","-34.3","9.3"
"Oneida County, Wisconsin(6,10)","55085","***","21.4","15.7","28.6","11","stable","3.3","-30.4","53.4"
"Boone County, West Virginia(6,10)","54005","***","21.3","14.1","31","6","falling","-15.7","-28.7","-0.3"
"Alpena County, Michigan(6,10)","26007","***","21.3 #  ","15.2","29.2","9","stable","2.3","-31","51.7"
"Sierra County, New Mexico(7)","35051","***","21.2","10.8","38","3","*","*","*","*"
"Harrisonburg City, Virginia(6,10)","51660","***","21.2","14.8","29.4","8","stable","10.3","-22.4","56.7"
"Ozaukee County, Wisconsin(6,10)","55089","***","21.2","17.3","25.7","23","stable","-3.1","-23.4","22.7"
"Benton County, Missouri(6,10)","29015","***","21.2","13.1","32.9","6","stable","-3.5","-36.9","47.5"
"Washington County, Ohio(6,10)","39167","***","21.2","16.8","26.5","17","stable","-10.1","-24.7","7.4"
"Emmet County, Michigan(6,10)","26047","***","21.2 #  ","15.3","28.8","9","stable","15.7","-44","138.9"
"Pulaski County, Indiana(6,10)","18131","***","21.2","12.2","34.7","3","*","*","*","*"
"Lincoln County, New Mexico(7)","35027","***","21.1","13.6","31.8","6","*","*","*","*"
"Clay County, North Carolina(6,10)","37043","***","21.1","11.1","37.2","3","*","*","*","*"
"Kewaunee County, Wisconsin(6,10)","55061","***","21.1","14.1","30.8","6","stable","11.6","-15.2","47"
"Randolph County, Alabama(6,10)","1111","***","21.1","14.1","30.5","6","stable","0.2","-53.1","114.3"
"Lee County, Iowa(7,8)","19111","***","21","15.1","28.6","9","stable","0.5","-1.6","2.6"
