"Incidence Rate Report for United States by County",,,,,,,,,,
,,,,,,,,,,
"Lung & Bronchus, 2010-2014",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
"Sorted by Rate",,,,,,,,,,
,,,,,,,,,,
"County"," FIPS","Met Healthy People Objective of ***?","Age-Adjusted Incidence Rate(�) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","Average Annual Count","Recent Trend","Recent 5-Year Trend (�) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)","0","***","61.2","61.1","61.3","215604","falling","-2.2","-2.7","-1.6"
"Union County, Florida(6,10)","12125","***","224.2","191.2","261.3","38","stable","4.9","-10.6","23.1"
"Owsley County, Kentucky(7,8)","21189","***","169.9","126.9","224.4","11","rising","4","0.2","7.9"
"McCreary County, Kentucky(7,8)","21147","***","163.2","138.6","191.1","33","stable","-0.1","-2.6","2.4"
"Powell County, Kentucky(7,8)","21197","***","153.9","126.6","185.8","23","stable","1.4","-2.6","5.5"
"Leslie County, Kentucky(7,8)","21131","***","147.6","120.5","179.5","22","stable","0.5","-3","4.1"
"North Slope Borough, Alaska(6,10)","2185","***","146.1","92.4","215.8","6","stable","-12","-44.1","38.5"
"Floyd County, Kentucky(7,8)","21071","***","139.5","124.8","155.5","69","stable","-0.9","-2.9","1"
"Martin County, Kentucky(7,8)","21159","***","132.7","106.7","163.2","19","stable","0.3","-2.6","3.4"
"Bracken County, Kentucky(7,8)","21023","***","131.4","101.9","167.3","14","stable","0.8","-2.8","4.5"
"Perry County, Kentucky(7,8)","21193","***","129","112.5","147.5","46","stable","-2.1","-5","0.9"
"Harlan County, Kentucky(7,8)","21095","***","126.6","110.6","144.4","47","stable","0.6","-1.6","2.9"
"Estill County, Kentucky(7,8)","21065","***","125.3","103.4","150.8","24","stable","1.9","-0.6","4.5"
"Hart County, Kentucky(7,8)","21099","***","124.9","105.5","147.2","30","stable","1.5","-0.6","3.6"
"Gallatin County, Kentucky(7,8)","21077","***","123","91.1","162.5","11","stable","0.1","-5","5.4"
"Grayson County, Kentucky(7,8)","21085","***","122.8","106.2","141.4","40","stable","-11.1","-25.8","6.4"
"Pike County, Kentucky(7,8)","21195","***","122.1","111.3","133.7","98","stable","0.5","-0.9","2"
"Knott County, Kentucky(7,8)","21119","***","121.9","100.7","146.5","25","stable","4.4","-1.8","11"
"Menifee County, Kentucky(7,8)","21165","***","121.4","89.9","161.4","11","stable","2.9","-1.7","7.9"
"Whitley County, Kentucky(7,8)","21235","***","121.1","106.3","137.5","50","stable","0.6","-1.2","2.5"
"Lewis County, Kentucky(7,8)","21135","***","121.1","98.9","147.2","21","stable","0.5","-1.2","2.4"
"Breathitt County, Kentucky(7,8)","21025","***","120.8","98.3","147.2","21","stable","1.1","-3.7","6.1"
"Letcher County, Kentucky(7,8)","21133","***","120.7","103.7","140","38","stable","-0.9","-2.8","1.1"
"Ohio County, Kentucky(7,8)","21183","***","120.7","103.8","139.8","38","stable","0.7","-1.1","2.6"
"Carroll County, Kentucky(7,8)","21041","***","120.7","94.9","151.6","16","stable","-0.9","-3.3","1.5"
"Lee County, Kentucky(7,8)","21129","***","120.1","89.4","158.7","11","stable","-0.1","-3.4","3.3"
"Clay County, Kentucky(7,8)","21051","***","119.9","100.7","141.7","29","stable","1","-1.5","3.5"
"Knox County, Kentucky(7,8)","21121","***","119.7","104.7","136.3","48","stable","-1","-2.8","0.9"
"Wolfe County, Kentucky(7,8)","21237","***","119.2","90.3","155.4","12","falling","-3.8","-7.2","-0.3"
"Pulaski County, Illinois(6,10)","17153","***","117.1","86.7","156.2","10","stable","1.8","-34.3","57.6"
"Metcalfe County, Kentucky(7,8)","21169","***","116.7","92.1","146.5","16","stable","-0.3","-2.9","2.4"
"New Madrid County, Missouri(6,10)","29143","***","116.4","97.8","137.7","29","falling","-5.1","-9.2","-1"
"Mason County, Kentucky(7,8)","21161","***","116.2","96.6","138.9","26","rising","3.6","0.5","6.8"
"Rockcastle County, Kentucky(7,8)","21203","***","115.8","95.9","138.9","25","stable","0.8","-1","2.6"
"Claiborne County, Tennessee(6,10)","47025","***","115.5","101.3","131.2","50","stable","8.5","-1.2","19.2"
"Woodruff County, Arkansas(6,10)","5147","***","115.3","86.3","151.7","11","stable","-0.8","-34","49.2"
"Yalobusha County, Mississippi(6,10)","28161","***","114.8","93.3","140.3","20","stable","-8.4","-22.1","7.7"
"Madison County, Missouri(6,10)","29123","***","114.7","93.1","140.3","20","stable","0.9","-10.7","13.9"
"Carter County, Missouri(6,10)","29035","***","113.9","83","153.5","10","stable","-3.9","-41.1","56.9"
"Jackson County, Arkansas(6,10)","5067","***","112.9","94.3","134.5","26","stable","-8.9","-29.1","17"
"Logan County, West Virginia(6,10)","54045","***","112.2","99","126.9","55","stable","-4.6","-17.4","10.1"
"Monroe County, Kentucky(7,8)","21171","***","112.1","89","139.9","17","stable","3","-2","8.2"
"Casey County, Kentucky(7,8)","21045","***","112","92.4","134.9","24","stable","0.8","-2.7","4.3"
"Carlisle County, Kentucky(7,8)","21039","***","111.2","80.3","152.1","9","stable","-1.1","-5.7","3.8"
"Vinton County, Ohio(6,10)","39163","***","111.1","89","137.3","18","stable","2","-30.1","48.9"
"Nome Census Area, Alaska(6,10)","2180","***","111.1","75.1","156.9","7","stable","-20.2","-37.3","1.6"
"Polk County, Tennessee(6,10)","47139","***","110.8","92.5","132.2","27","stable","-10.9","-33.9","20.1"
"Johnson County, Kentucky(7,8)","21115","***","110.6","94","129.5","33","stable","-0.5","-2.6","1.5"
"Livingston County, Kentucky(7,8)","21139","***","109.5","86","138.4","16","stable","2.1","-1.6","6"
"Bell County, Kentucky(7,8)","21013","***","109.5","94.6","126.1","40","stable","-0.5","-2.9","2"
"McLean County, Kentucky(7,8)","21149","***","109.4","85.4","138.7","15","stable","0.6","-2.5","3.9"
"Trousdale County, Tennessee(6,10)","47169","***","109.2","80.8","144.8","10","stable","14.5","-10","45.7"
"Meade County, Kentucky(7,8)","21163","***","108.9","91.9","128.1","31","falling","-11.3","-20.2","-1.3"
"Nicholas County, Kentucky(7,8)","21181","***","108.8","80.6","144.4","10","stable","2.9","-2","8.1"
"Poinsett County, Arkansas(6,10)","5111","***","108.7","93","126.4","35","stable","1.5","-13.1","18.6"
"Boone County, West Virginia(6,10)","54005","***","108.5","92.3","126.9","34","stable","2.7","-8.6","15.5"
"Barren County, Kentucky(7,8)","21009","***","108.3","96.2","121.5","60","stable","0.9","-0.4","2.2"
